Accident_ID,Area,Date,Time,Vehicle_Type,Driver_Age,Cause,Injuries,Deaths,Weather
1076,Anna Nagar,2024-05-25,16:56:00,Car,30.0,drunk driving,0,0,Clear
1014,Tambaram,2022-04-14,17:29:00,Bike,45.0,overspeed,0,0,Cloudy
1082,Chromepet,2022-10-14,16:27:00,Car,17.0,drunk driving,0,3,Clear
1088,Anna Nagar,2023-12-02,07:55:00,Car,15.0,drunk driving,5,2,Clear
1056,Perungudi,2022-07-16,22:49:00,Bike,17.0,signal jump,3,0,Clear
1017,Velachery,2022-01-22,20:46:00,Bus,22.0,signal jump,1,0,Clear
1077,Perungudi,2022-06-16,04:22:00,Auto,45.0,over speed,0,2,Clear
1026,Velachery,2023-01-11,21:49:00,Bike,30.0,signal jump,0,3,Rainy
1090,Omr,2023-02-18,21:29:00,Car,15.0,distracted driving,0,0,Rainy
1072,Velachery,2024-04-26,11:53:00,Car,15.0,signal jump,0,1,Clear
1092,Anna Nagar,2022-03-22,07:20:00,Truck,30.0,distracted driving,0,0,Rainy
1078,Anna Nagar,2023-09-15,23:51:00,Bus,30.0,drunk driving,0,3,Clear
1059,Anna Nagar,2023-12-10,08:51:00,Truck,45.0,signal jump,0,0,Rainy
1030,Guindy,2023-02-15,21:14:00,Bus,17.0,signal jump,2,2,Cloudy
1069,Adyar,2023-05-30,01:13:00,Auto,17.0,drunk driving,1,0,Rainy
1033,T Nagar,2024-04-29,18:17:00,Bike,60.0,distracted driving,3,0,Cloudy
1014,Guindy,2024-02-05,10:57:00,Auto,30.0,over speed,1,1,Rainy
1024,Omr,2023-06-03,23:17:00,Truck,60.0,overspeed,3,2,Clear
1079,Anna Nagar,2023-11-22,14:55:00,Bus,30.0,drunk driving,0,0,Clear
1089,Velachery,2023-03-10,05:31:00,Bike,45.0,drunk driving,3,1,Rainy
1099,Perungudi,2023-07-15,07:57:00,Car,60.0,wrong turn,1,0,Rainy
1018,Omr,2022-05-23,12:39:00,Bus,60.0,over speed,3,1,Clear
1075,Velachery,2022-07-23,20:50:00,Car,45.0,wrong turn,0,3,Rainy
1090,T Nagar,2023-11-23,06:30:00,Truck,15.0,overspeed,3,1,Cloudy
1046,Omr,2023-06-07,23:38:00,Bus,22.0,overspeed,0,3,Rainy
1036,Anna Nagar,2024-04-27,05:46:00,Car,60.0,signal jump,3,2,Rainy
1003,Guindy,2023-02-09,20:45:00,Bus,22.0,distracted driving,3,0,Rainy
1012,Anna Nagar,2022-11-20,01:16:00,Bike,15.0,distracted driving,0,0,Rainy
1093,Anna Nagar,2022-11-19,11:50:00,Auto,45.0,signal jump,4,0,Rainy
1048,T Nagar,2024-02-15,00:11:00,Auto,15.0,drunk driving,5,0,Clear
1097,Guindy,2023-11-05,12:55:00,Car,17.0,wrong turn,5,3,Clear
1077,Omr,2023-10-26,11:23:00,Bike,45.0,distracted driving,4,0,Clear
1085,Omr,2023-05-11,08:58:00,Car,17.0,distracted driving,3,0,Rainy
1028,Guindy,2023-03-12,13:20:00,Bike,15.0,wrong turn,1,1,Clear
1076,Anna Nagar,2024-03-23,05:27:00,Bus,17.0,distracted driving,2,3,Clear
1035,T Nagar,2023-07-29,01:31:00,Bike,60.0,over speed,1,2,Clear
1009,Tambaram,2023-03-17,14:52:00,Car,30.0,overspeed,5,2,Clear
1065,Tambaram,2022-11-15,02:25:00,Truck,60.0,overspeed,3,1,Rainy
1097,Velachery,2023-01-17,22:43:00,Bus,15.0,overspeed,0,0,Rainy
1047,Guindy,2023-03-24,05:18:00,Bus,30.0,overspeed,5,0,Cloudy
1037,Adyar,2024-03-04,16:34:00,Truck,45.0,signal jump,1,3,Clear
1059,Tambaram,2023-10-06,09:52:00,Car,15.0,distracted driving,2,3,Clear
1012,Anna Nagar,2022-09-14,05:42:00,Auto,15.0,signal jump,3,0,Rainy
1042,T Nagar,2022-03-15,14:39:00,Bus,30.0,signal jump,5,0,Cloudy
1068,Perungudi,2022-03-06,18:45:00,Auto,22.0,overspeed,3,2,Rainy
1065,Guindy,2024-02-26,16:36:00,Bus,17.0,drunk driving,5,3,Rainy
1030,Perungudi,2022-09-20,22:30:00,Truck,45.0,drunk driving,5,0,Cloudy
1022,Porur,2023-02-08,09:47:00,Bike,22.0,signal jump,4,3,Clear
1059,T Nagar,2023-02-23,01:12:00,Bike,30.0,overspeed,2,0,Rainy
1037,Velachery,2023-05-23,23:39:00,Bus,17.0,over speed,5,1,Rainy
1019,Velachery,2022-05-19,18:43:00,Truck,45.0,wrong turn,2,2,Clear
1032,Velachery,2022-01-12,14:16:00,Auto,45.0,distracted driving,0,1,Clear
1032,Guindy,2022-06-03,06:42:00,Bike,30.0,signal jump,0,0,Clear
1031,Adyar,2023-12-25,20:11:00,Bus,30.0,wrong turn,3,0,Rainy
1009,T Nagar,2024-03-02,19:44:00,Car,30.0,signal jump,0,0,Clear
1044,Guindy,2024-03-17,16:15:00,Truck,15.0,drunk driving,5,3,Clear
1013,T Nagar,2022-01-25,21:30:00,Truck,17.0,wrong turn,5,0,Clear
1032,Guindy,2022-02-24,14:37:00,Auto,30.0,signal jump,4,0,Clear
1081,Omr,2023-06-29,02:11:00,Car,45.0,overspeed,2,0,Clear
1038,Adyar,2024-05-02,11:16:00,Bus,30.0,drunk driving,3,3,Clear
1045,Adyar,2023-12-19,10:22:00,Bike,45.0,over speed,5,2,Clear
1008,T Nagar,2024-05-15,18:47:00,Car,30.0,over speed,2,2,Clear
1066,Velachery,2022-12-03,10:19:00,Bike,15.0,wrong turn,1,0,Rainy
1024,Tambaram,2023-05-11,10:39:00,Truck,60.0,drunk driving,1,2,Rainy
1027,Tambaram,2022-10-27,13:12:00,Bus,45.0,drunk driving,2,0,Rainy
1026,Adyar,2022-04-02,03:21:00,Auto,22.0,over speed,0,0,Rainy
1053,Guindy,2022-11-03,22:35:00,Auto,30.0,over speed,2,0,Rainy
1079,Tambaram,2023-09-11,09:38:00,Bus,17.0,distracted driving,0,1,Rainy
1096,Tambaram,2022-04-29,06:31:00,Bus,30.0,signal jump,4,2,Cloudy
1082,Omr,2022-05-03,15:51:00,Truck,22.0,signal jump,0,0,Rainy
